name,nationality,rating,position1,position2,position3,age,team
Brian Leiva,Chile,55,LW,LM,,20,Uni. Católica
Ryan Clampin,England,55,LM,LWB,LB,19,Colchester
Adam Wolniewicz,Poland,55,RB,,,25,Górnik Zabrze
Carlos Martínez,Costa Rica,55,RB,,,19,KAS Eupen
Serkan Bakan,Turkey,55,LM,,,17,Göztepe
William Graham,Scotland,55,ST,,,19,Kilmarnock
Edvin Crona,Sweden,55,ST,,,18,Kalmar FF
Hiroto Ishikawa,Japan,55,CM,,,20,Sagan Tosu
Magnus Kaastrup,Denmark,55,LM,,,17,Aarhus GF
George Hughes,Wales,55,CM,,,19,Shrewsbury
Daniel Mushitu,Sweden,55,ST,,,18,AIK
Joe Rankin-Costello,England,55,RM,LM,,19,Blackburn Rovers
Jordan Simpson,England,55,CM,,,19,Forest Green
Jamie Stott,England,55,LB,CB,,20,Oldham Athletic
Kristoffer Klaesson,Norway,55,GK,,,17,Vålerenga Fotball
Joaquín Romo,Chile,55,ST,CAM,,18,CD Palestino
Mauricio Godoy,Chile,55,RW,LW,,21,CD Huachipato
Cedwyn Scott,England,55,ST,,,19,Dundee FC
Christoph Haas,Austria,55,GK,,,26,SK Rapid Wien
Yohei Nishibe,Japan,55,GK,,,37,Shimizu S-Pulse
Ryuji Kawai,Japan,55,CB,CDM,,40,H.Consa.Sapporo
Cristian Carletti,Italy,55,ST,,,22,Carpi
Karvan Ahmadi,Sweden,55,LM,,,20,IK Sirius
Kwame Awuah,Canada,55,CM,,,22,New York City FC
İsmail Ünal,Turkey,55,GK,,,20,Alanyaspor
Alonso Rodriguez,Chile,55,CB,,,19,Uni. de Chile
Paul Lewis,England,55,CDM,,,23,Cambridge Utd
Kendall McIntosh,United States,55,GK,,,24,Portland Timbers
Berat Şahiner,Turkey,55,LB,,,20,Alanyaspor
Romir Balanta,Colombia,55,ST,,,25,América de Cali
Tristan AbrahamsL,England,55,ST,,,19,Exeter City
Pontus Almqvist,Sweden,55,LW,ST,CM,19,IFK Norrköping
Toby Sibbick,England,55,CB,RB,,19,AFC Wimbledon
Danny Amos,England,55,LB,,,18,Doncaster
Giacomo Satalino,Italy,55,GK,,,19,Sassuolo
Tom Lowery,England,55,CM,,,20,Crewe Alexandra
Ben Doherty,Republic of Ireland,55,LB,LM,LW,21,Derry City
Yerko Aguila,Chile,55,LB,CDM,,22,Deportes Temuco
Abdulaziz Al Shehry,Saudi Arabia,55,GK,,,23,Al Qadisiyah
Rhys Lovett,England,55,GK,,,21,Cheltenham Town
Benjamin Ozegovic,Austria,55,GK,,,19,SCR Altach
Aldair Quintana,Colombia,55,GK,,,24,Atlético Huila
Matt Bower,England,55,CB,,,19,Cheltenham Town
Akin FamewoL,England,55,CB,,,19,Grimsby Town
Sebastián Jurado,Mexico,55,GK,,,20,Veracruz
Emil Bohinen,Norway,55,CM,,,19,Stabæk Fotball
Florian Kraft,Germany,55,GK,,,20,Bochum
Connor O'Grady,Republic of Ireland,55,CB,,,20,Sheffield Wed
Levi Lumeka,England,55,LM,,,19,Crystal Palace
Andy Fisher,England,55,GK,,,20,Blackburn Rovers
Omar Salman Al Suhaymi,Saudi Arabia,55,CDM,CM,,25,Al Faisaly
Rarmani Edmonds-Green,England,55,CB,RB,,19,Huddersfield
Kye Rowles,Australia,55,CB,,,20,Central Coast
Christian Oxlade-Chamberlain,England,55,RB,CM,CDM,20,Notts County
Tyreeq BakinsonL,England,55,CM,CDM,,19,Newport County
William Arne Hanssen,Norway,55,ST,,,20,FK Bodø/Glimt
Abdul-Basit Agouda,Norway,55,ST,,,19,Stabæk Fotball
Ryan Sandford,England,55,GK,,,19,Millwall
Christian Ventola,Italy,55,RB,,,21,Pescara
Elhan Kastrati,Albania,55,GK,,,21,Pescara
Darragh Leahy,Republic of Ireland,55,LB,CB,,20,Bohemian FC
Emre Selen,Turkey,55,GK,,,24,Yeni Malatyaspor
Octavio Patiño,Colombia,55,GK,,,21,Rionegro Águilas
Guido Pulidori,Italy,55,GK,,,21,Livorno
Daigo Araki,Japan,55,CM,,,24,Júbilo Iwata
Masashi Wada,Japan,55,ST,,,21,Yokohama F･M
Tatsuro Okuda,Japan,55,GK,,,29,V-Varen Nagasaki
Akito Takagi,Japan,55,ST,,,21,Gamba Osaka
Hiroki Noda,Japan,55,CB,,,21,Gamba Osaka
Keiya Shiihashi,Japan,55,CB,CDM,,21,Vegalta Sendai
Connor Sparrow,United States,55,GK,,,24,Real Salt Lake
Mario Shabow,Australia,55,LM,,,20,Central Coast
Zayn Hakeem,England,55,ST,LW,,19,Mansfield Town
Bradley Stevenson,England,55,CAM,CM,,19,Gillingham
Leon Davies,England,55,RB,,,18,Cambridge Utd
Isaac Pearce,England,55,ST,,,19,Forest Green
Kevin Sibille,Argentina,55,CB,,,19,River Plate
Theo Vassell,England,55,CB,RB,,21,Port Vale
Matthew Millar,Australia,55,RM,RB,ST,21,Central Coast
Hayden CoulsonL,England,55,LB,LM,,20,St. Mirren
Louis Dunne,Republic of Ireland,55,CAM,LM,,19,Colchester
Willem Tomlinson,England,55,CM,,,20,Blackburn Rovers
Jordan Thompson,Northern Ireland,55,CM,CDM,,21,Blackpool
Niko Hämäläinen,Finland,55,LB,LM,,21,QPR
Ellis Iandolo,England,55,CAM,LM,LWB,20,Swindon Town
Tariq Issa,England,55,ST,LM,CAM,20,Colchester
Filip Tägtström,Sweden,55,CB,,,20,GIF Sundsvall
Kevin Horgan,Republic of Ireland,55,GK,,,21,Shamrock Rovers
Ryan Broom,Wales,55,RM,,,21,Cheltenham Town
Przemysław Macierzyński,Poland,55,ST,,,19,Lechia Gdańsk
Sam Lavelle,Scotland,55,CB,,,21,Morecambe
Erlend Segberg,Norway,55,CM,,,21,IK Start
Jackichand Singh,India,55,ST,RM,,26,Free Agents
Sun Ya,China PR,55,RM,,,21,Tianjin TEDA
Mai Jiajian,China PR,55,LM,,,22,Guangzhou R&F
Zhou Dadi,China PR,55,LM,CM,,22,Changchun Yatai
Fiacre KelleherL,Republic of Ireland,55,CB,,,22,Macclesfield
Ryan Wintle,England,55,CM,,,21,Crewe Alexandra
Kris Twardek,Canada,55,LM,RM,ST,21,Sligo Rovers
Roberto Criscuolo,Italy,55,CM,,,21,Sampdoria
Frederik Nielsen,Denmark,55,CB,,,20,Sheffield Wed
Jakub Hromada,Slovakia,55,CDM,CM,,22,Slavia Praha
George Lapslie,England,55,CM,,,20,Charlton Ath
Easah SulimanL,England,55,CB,RB,,20,FC Emmen
Jack Sowerby,England,55,CM,,,23,Fleetwood Town
Tyler Forbes,England,55,RWB,RB,,22,Newport County
Kevin Mellado,Chile,55,ST,,,20,Depor. Iquique
Kristopher da Graca,Sweden,55,CB,,,20,IFK Göteborg
Dong YanFeng,China PR,55,RB,,,22,Dalian Yifang
Jason Kerr,Scotland,55,CB,CM,,21,St. Johnstone
Levi Sutton,England,55,RB,CM,,21,Scunthorpe Utd
Ryan Swan,Republic of Ireland,55,ST,,,22,Bohemian FC
Ronan Coughlan,Republic of Ireland,55,ST,RM,,21,Cork City
Jamie McDonagh,Northern Ireland,55,RM,ST,,22,Derry City
Sun Kai,China PR,55,RB,CB,LB,27,Shanghai Shenhua
Camilo Rosero,Ecuador,55,ST,,,24,Atlético Huila
Gao Jiarun,China PR,55,CB,CDM,,23,Tianjin TEDA
Jeppe Simonsen,Denmark,55,RB,LB,ST,22,SønderjyskE
Lewis WardL,England,55,GK,,,21,Northampton
Hasan Hüseyin Acar,Turkey,55,CM,,,23,Kayserispor
Cristian López,Colombia,55,GK,,,23,Leones
Scott Burgess,England,55,CM,RW,,21,Bury
Choe Pil Soo,Korea Republic,55,GK,,,27,Sangju Sangmu
Robin Kamber,Switzerland,55,ST,RW,,22,Grasshopper Club
Wang Liang,China PR,55,RB,LB,,29,Dalian Yifang
Jin Qiang,China PR,55,CDM,,,25,Dalian Yifang
Cui Ming'an,China PR,55,CDM,CM,,23,Dalian Yifang
Zhu Xiaogang,China PR,55,CDM,,,30,Dalian Yifang
Xiang Hantian,China PR,55,RM,,,22,Beijing Renhe
Ally Gilchrist,Scotland,55,CB,LB,,23,Shamrock Rovers
Niklas Sandberg,Norway,55,CM,,,23,IK Start
Pei Shuai,China PR,55,LB,CDM,,25,Tianjin Quanjian
Ignacio Ibañez,Chile,55,RB,RM,,21,Everton de Viña
James Hamon,England,55,GK,,,23,Exeter City
Maxim Rudakov,Russia,55,GK,,,22,HJK Helsinki
Matthew Jay,England,55,ST,,,22,Exeter City
Kevin Ray Mendoza Hansen,Denmark,55,GK,,,23,AC Horsens
Kyle Zobeck,United States,55,GK,,,28,FC Dallas
Cameron Norman,England,55,RB,RM,,22,Oxford United
Charles Vernam,England,55,ST,,,21,Grimsby Town
Alex Addai,England,55,ST,RM,,24,Cheltenham Town
Michael Barker,Republic of Ireland,55,RB,LB,,25,St. Pats
Abdulelah Al Nassar,Saudi Arabia,55,LM,LW,,27,Al Nassr
Darren Dennehy,Republic of Ireland,55,CB,,,29,Limerick FC
Shane Tracy,Republic of Ireland,55,LB,LM,,29,Limerick FC
Tadaaki Hirakawa,Japan,55,RM,RB,LM,39,Urawa Reds
James Sinclair,England,55,RB,RM,,30,Morecambe
Jonathan Smith,England,55,CM,,,31,Stevenage
Nicky Hunt,England,55,RB,CB,,34,Crewe Alexandra
Steve Collis,England,55,GK,,,37,Rochdale
Yuya Fukuda,Japan,54,CM,,,19,Gamba Osaka
Shuto Machino,Japan,54,ST,,,18,Yokohama F･M
Kenta Hori,Japan,54,CAM,,,19,Yokohama F･M
Gary Maley,Scotland,54,GK,,,36,Livingston
Simone Barone,Italy,54,GK,,,19,La Spezia
Saikou Janneh,Gambia,54,ST,,,18,Bristol City
Adam Tymiński,Poland,54,CB,,,19,Piast Gliwice
Szymon Łapiński,Poland,54,CAM,,,17,Jagiellonia
Noah James,Australia,54,GK,,,17,Newcastle Jets
Giannis-Fivos Botos,Greece,54,CAM,RM,,17,AEK Athens
Faisal Darisi,Saudi Arabia,54,CB,,,21,Al Ahli
Emad Fadda,Saudi Arabia,54,GK,,,21,Al Qadisiyah
Salah Aziz Binous,Switzerland,54,ST,,,18,FC Lugano
Max Kulke,Germany,54,CM,,,17,Dresden
Tommy Wood,England,54,ST,,,19,AFC Wimbledon
Gabriel Rogers,England,54,RM,LM,,18,Yeovil Town
Mateusz Sopoćko,Poland,54,CAM,,,19,Lechia Gdańsk
Patryk Plewka,Poland,54,CAM,CM,,18,Wisła Kraków
Daigo Takahashi,Japan,54,ST,,,19,Shimizu S-Pulse
Yuta Taki,Japan,54,CM,,,18,Shimizu S-Pulse
Brayan Córdoba,Colombia,54,CB,,,18,Atl. Nacional
Lucas Pellegrini,France,54,LB,,,18,AC Ajaccio
Abdulrahman Al DhafeeriL,Saudi Arabia,54,CM,LM,RM,21,Al Batin
Leonardo Zottele,Austria,54,CB,,,19,SCR Altach
Ignacio Núñez,Chile,54,CB,RB,,19,Unión Española
Nemanja Celic,Austria,54,CDM,CB,,19,LASK Linz
Christopher Giuliani,Austria,54,GK,,,19,SK Sturm Graz
Mariusz Malec,Poland,54,CB,,,23,Pogoń Szczecin
Haris Brkic,Sweden,54,ST,CAM,,18,Trelleborgs FF
Cammy MacPherson,Scotland,54,CM,,,19,St. Mirren
Filip Majchrowicz,Poland,54,GK,,,18,Cracovia
Damian Gąska,Poland,54,CM,,,21,Śląsk Wrocław
Murat Şatin,Austria,54,RM,,,21,Innsbruck
Kacper Krzepisz,Poland,54,GK,,,18,Arka Gdynia
Jack Hamilton,Scotland,54,ST,,,18,Livingston
Manuel Pfeifer,Austria,54,CB,,,18,TSV Hartberg
Migel-Max Schmeling,Germany,54,LB,,,18,Duisburg
Sergio Gucciardo,Turkey,54,ST,LM,,19,Paderborn
Joe Adams,Wales,54,RM,,,17,Bury
Baris Ekincier,Azerbaijan,54,LM,RM,CAM,19,Bochum
Ollie Kensdale,England,54,CB,,,18,Colchester
Adam Groundstroem,Sweden,54,CB,,,18,Brommapojkarna
Thomas Isherwood,Sweden,54,CB,,,20,Bradford City
Konrad Kumor,Poland,54,RM,,,18,Z. Sosnowiec
Nsana Simon,France,54,CM,,,18,RC Lens
Enes Küc,Germany,54,CAM,,,21,Würzburg
Joey Breitfeld,Germany,54,RM,,,21,Ingolstadt
Tim Kircher,Germany,54,RB,,,19,Karlsruher SC
Moritz Broschinski,Germany,54,ST,,,17,Energie Cottbus
Niklas Geisler,Germany,54,CAM,,,17,Energie Cottbus
Tim Stawecki,Germany,54,GK,,,18,Energie Cottbus
Baltazar,Brazil,54,CDM,,,18,FC Sion
Mohammed Al-Hardan,Bahrain,54,CM,,,20,Vejle Boldklub
Dylan Wenzel-Halls,Australia,54,ST,,,20,Brisbane Roar
Djed Spence,England,54,RB,,,18,Middlesbrough
Frederik Ibsen,Denmark,54,GK,,,21,Vendsyssel FF
Williams Alarcón,Chile,54,CAM,,,17,CD Viñazur
Lars Mogstad Ranger,Norway,54,RB,,,19,Lillestrøm SK
Fatih Kaya,Turkey,54,ST,,,18,Ingolstadt
Matias ContrerasL,Chile,54,ST,,,20,Unión La Calera
George Gibson,Norway,54,ST,,,17,Sandefjord
Johann Berger,Germany,54,CDM,CM,,19,Hansa Rostock
Stefan Wolf,Switzerland,54,CM,,,19,FC Luzern
Marcelo Suárez,Chile,54,GK,,,18,Uni. Católica
Wang Chu,China PR,54,CM,,,27,Beijing Renhe
Matias Ibacache,Chile,54,LB,,,19,Everton de Viña
Marcelino Carreazo,Venezuela,54,CM,,,20,Once Caldas
Shen Shuaishuai,China PR,54,GK,,,19,Guangzhou R&F
Sam Wilson,England,54,GK,,,19,Mansfield Town
Daniel Castro,Chile,54,ST,,,24,Unión La Calera
Axel Björnström,Sweden,54,LB,,,22,IK Sirius
Jon Gallagher,Republic of Ireland,54,ST,,,22,Atlanta United
Ross Treacy,Republic of Ireland,54,GK,,,19,Dundalk
Daniel Pik,Poland,54,LM,,,18,Cracovia
Yuki Ogaki,Japan,54,ST,,,18,Nagoya Grampus
Xu Yougang,China PR,54,RB,,,22,Shanghai Shenhua
Jin Hui,China PR,54,ST,,,29,Beijing Renhe
Isaac Angking,United States,54,CDM,,,18,New England
Mikel Miller,England,54,ST,RW,LW,22,Hamilton
Marokhy Ndione,Sweden,54,ST,,,18,IF Elfsborg
Mohammad Al Sharimi,Saudi Arabia,54,RB,CB,,23,Al Raed
Emil Kalsaas,Norway,54,RB,,,18,SK Brann
Riku Tanaka,Japan,54,RM,RB,CAM,19,Kashiwa Reysol
Olaus Jair Skarsem,Norway,54,CM,LW,,20,Rosenborg BK
James Finnerty,Republic of Ireland,54,CB,,,19,Rochdale
Qian Yumiao,China PR,54,CB,CDM,,20,Tianjin Quanjian
Kalle Katz,Finland,54,CB,,,18,HJK Helsinki
Billy Crellin,England,54,GK,,,18,Fleetwood Town
José Lártiga,Chile,54,GK,,,20,San Luis
Claudio Zamorano,Chile,54,CDM,CM,,19,Deportes Temuco
Li Lei,China PR,54,GK,,,25,Guizhou Hengfeng
Jesus Ferreira,Colombia,54,ST,,,17,FC Dallas
Alpha Sissoko,France,54,RB,,,21,Clermont Foot
Aaron Smith,England,54,CAM,ST,,20,Hamilton
Elvis Otim,Uganda,54,RM,CM,,20,Barnsley
Yang Liyu,China PR,54,CAM,,,21,Guangzhou
Andreas Bruus,Denmark,54,ST,,,19,Brøndby IF
Mateo Giraldo,Colombia,54,CDM,,,20,Envigado
Kenshin Yoshimaru,Japan,54,GK,,,22,Vissel Kobe
Daiya Maekawa,Japan,54,GK,,,23,Vissel Kobe
Alexander Ammitzbøll,Denmark,54,ST,,,19,Aarhus GF
Pedro Teixeira,Switzerland,54,LM,,,19,BSC Young Boys
Brady Scott,United States,54,GK,,,19,Köln
Reece McGinley,Northern Ireland,54,LM,RM,,18,Rotherham Utd
Matías Saavedra,Chile,54,ST,,,18,Audax Italiano
Harvey GilmourL,England,54,CM,,,19,Tranmere Rovers
Keenan Ferguson,England,54,CB,,,18,Sheffield Utd
Ramy Najjarine,Australia,54,LM,CAM,,18,Melbourne City
Mitchell ClarkL,Wales,54,RB,CB,,19,Port Vale
Pavel Ovchinnikov,Russia,54,GK,,,20,CSKA Moscow
Tommaso FantacciL,Italy,54,CAM,,,21,Carpi
Frank Arhin,Ghana,54,CAM,,,19,Östersunds FK
Teddy Lia,France,54,CAM,,,20,LOSC Lille
Mohammed Al Majhad,Saudi Arabia,54,CM,,,22,Al Fateh
Basil Al Bahrani,Saudi Arabia,54,GK,,,23,Al Fateh
Roberto Strechie,Romania,54,CM,,,18,Venezia
Albin Linnér,Sweden,54,ST,,,19,AIK
Elias Durmaz,Sweden,54,LM,,,18,Hammarby IF
Olle Edlund,Sweden,54,ST,,,18,Hammarby IF
Shamal GeorgeL,England,54,GK,,,20,Tranmere Rovers
Harry Brockbank,England,54,CB,,,19,Bolton
Jeff King,England,54,CM,CAM,LM,22,St. Mirren
Robin Källman,Finland,54,GK,,,19,HJK Helsinki
Luke Russe,England,54,CM,,,19,Bristol Rovers
Maren Haile-Selassie,Switzerland,54,RM,CM,,19,FC Zürich
Noah Feil,Germany,54,CM,,,19,VfR Aalen
Li Hailong,China PR,54,RB,,,22,Shandong Luneng
Nico Mantl,Germany,54,GK,,,18,Unterhaching
Alex Reid,England,54,ST,,,22,Stevenage
Romal Palmer,England,54,CM,,,19,Barnsley
Abdulsamed Damlu,Turkey,54,GK,,,19,Yeni Malatyaspor
Gjelbrim Taipi,Albania,54,CM,,,25,Grasshopper Club
Miguel Rodrigues,Switzerland,54,CB,,,21,FC Thun
Jesper Isaksen,Norway,54,CM,,,18,Kristiansund
Ryan Masterson,Republic of Ireland,54,ST,,,21,Bohemian FC
Innes Cameron,Scotland,54,CDM,CM,,17,Kilmarnock
Mathias Lopez,Chile,54,CDM,CM,,22,CD Huachipato
Jamie Hamilton,Republic of Ireland,54,CM,CDM,,19,Bohemian FC
Sebastian Kowalczyk,Poland,54,RM,,,19,Pogoń Szczecin
Kacper Laskoś,Poland,54,CM,,,18,Wisła Kraków
Virgile Piechocki,France,54,CAM,,,21,Stade de Reims
Firas Al Birekan,Saudi Arabia,54,ST,,,18,Al Nassr
Odysseus Alfa,Nigeria,54,ST,LM,,19,QPR
Chris Camwell,England,54,LB,,,19,Coventry City
Akira Fantini,Japan,54,GK,,,20,Sagan Tosu
John McAtee,England,54,ST,CAM,,19,Shrewsbury
Daniel Higgins,Scotland,54,CB,CM,,20,Kilmarnock
Kristoffer Velde,Norway,54,ST,,,18,FK Haugesund
Morten Renå Olsen,Norway,54,RB,,,19,Stabæk Fotball
David Camacho,Colombia,54,CM,,,21,La Equidad
Luca Colville,England,54,LM,CAM,,19,Bradford City
William Popp,Japan,54,GK,,,23,Kawasaki-F
Deshane Dalling,England,54,CAM,RB,,20,QPR
Vlad Mihai Dragomir,Romania,54,CAM,,,19,Perugia
Abraham Majok,Kenya,54,ST,RW,,19,WS Wanderers
Sam Osborne,England,54,RM,,,19,Notts County
Ryan Barnett,England,54,CM,,,18,Shrewsbury
Iván Angulo,Colombia,54,RM,,,19,Envigado
Fraser Preston,England,54,RM,,,19,Sheffield Wed
Harry Darling,England,54,CB,,,19,Cambridge Utd
Lewis O'Brien,England,54,RM,CM,LM,19,Huddersfield
Steven AlzateL,England,54,CAM,ST,CF,19,Swindon Town
Aksel Aktas,Turkey,54,CAM,,,19,Stade de Reims
Daniel Lalhlimpuia,India,54,ST,RW,,20,Free Agents
StrefezzaL,Brazil,54,RW,RM,,21,Cremona
Lewis Morrison,Scotland,54,ST,,,19,Sligo Rovers
Benjamin Lund,Denmark,54,LB,,,21,Vendsyssel FF
Harry Pickering,England,54,LB,CDM,,19,Crewe Alexandra
Titas Krapikas,Lithuania,54,GK,,,19,Sampdoria
Miles Welch-Hayes,England,54,RB,LB,CB,21,Macclesfield
Kevin Lynch,Republic of Ireland,54,LB,,,26,Bray Wanderers
Jacob Marsden,England,54,GK,,,21,Hamilton
Aden BaldwinL,England,54,CB,RB,,21,Cheltenham Town
Lewis Hardcastle,England,54,CM,CDM,,20,Blackburn Rovers
Robby McCrorie,Scotland,54,GK,,,20,Rangers
David Turnbull,Scotland,54,CM,,,19,Motherwell
Tyler GarrattL,England,54,LB,CB,,21,AFC Wimbledon
Julius Lindgren,Sweden,54,GK,,,21,IFK Norrköping
Zhang Yan,China PR,54,GK,,,21,Jiangsu Suning
Shaun Want,Scotland,54,CB,,,21,Hamilton
Sumeet Passi,India,54,ST,,,23,Free Agents
Ethan Ross,England,54,GK,,,21,Colchester
Paul Kalambayi,England,54,CB,,,19,AFC Wimbledon
Felipe Acosta,Colombia,54,RM,,,24,Boyacá Chicó
Liam Gordon,Scotland,54,CB,,,22,St. Johnstone
Goro Kawanami,Japan,54,GK,,,27,Vegalta Sendai
Mateo Matic,Switzerland,54,GK,,,22,Grasshopper Club
Carlos Gallego,Colombia,54,LB,,,29,Leones
Noah Chesmain,England,54,LB,LWB,,20,Colchester
Lewis Butroid,England,54,LB,,,19,Scunthorpe Utd
Joshua Macdonald,Australia,54,ST,,,22,Central Coast
Peter Vindahl Jensen,Denmark,54,GK,,,20,FC Nordsjælland
James McGarry,New Zealand,54,LW,LB,,20,Willem II
Tobias Lauritsen,Norway,54,ST,CM,,20,Odds BK
Taylor Queen,Scotland,54,CB,,,19,Kilmarnock
Diego Gutiérrez,Canada,54,LM,,,21,CD Palestino
Jamie Veale,Wales,54,CM,,,21,Cardiff City
Elijah AdebayoL,England,54,ST,,,20,Swindon Town
Novem Baumann,Switzerland,54,GK,,,22,FC Zürich
Dario Marzino,Switzerland,54,GK,,,21,BSC Young Boys
Mikkel Mejlstrup Pedersen,Denmark,54,CM,LB,RB,22,Hobro IK
Frank Ross,Scotland,54,CM,LM,,20,Aberdeen
Tommy Holland,Republic of Ireland,54,GK,,,20,Limerick FC
Shaun McWilliams,England,54,CM,RB,RM,20,Northampton
Gustavo Canto,Argentina,54,CB,,,24,Tijuana
Steven Boyd,Scotland,54,ST,,,21,Hamilton
Shannon Brady,Australia,54,RW,ST,,22,Brisbane Roar
Manuel Loaiza,Colombia,54,GK,,,23,Atl. Bucaramanga
Hampus Strömgren,Sweden,54,GK,,,22,Kalmar FF
Daniel Grimshaw,England,54,GK,,,20,Manchester City
Robin Huser,Switzerland,54,CM,CAM,CDM,20,FC Basel
Chang Feiya,China PR,54,ST,,,25,Guangzhou R&F
Zhao Xuebin,China PR,54,ST,,,25,Dalian Yifang
Lü Peng,China PR,54,CM,,,28,Beijing Guoan
Shi Liang,China PR,54,CM,CDM,,29,Beijing Renhe
Luke Pilling,Wales,54,GK,,,21,Tranmere Rovers
Dylan Hayes,Republic of Ireland,54,RB,,,23,Bray Wanderers
Silas Songani,Zimbabwe,54,RM,ST,,29,SønderjyskE
Yuzo Kurihara,Japan,54,CB,,,34,Yokohama F･M
Brayan Lucumí,Colombia,54,RM,,,24,Deportivo Pasto
Eric Grimes,Republic of Ireland,54,GK,,,23,Derry City
Mohammed Attiyah,Saudi Arabia,54,CM,LM,,26,Ohod Club
Abdullah Hamdan Al Shammari,Saudi Arabia,54,GK,,,26,Al Raed
Marko Mitrović,Sweden,54,ST,,,26,SønderjyskE
Sean Harding,Republic of Ireland,54,RB,,,29,Bray Wanderers
Shaun Kelly,Republic of Ireland,54,RB,,,28,Limerick FC
Taiga Nishiyama,Japan,53,CB,,,18,Yokohama F･M
Jonas Brändle,Germany,53,LB,,,18,Heidenheim
Joseph Wicks,England,53,CM,,,18,Millwall
Yahya Al Qarni,Saudi Arabia,53,CDM,,,19,Al Ahli
Hani Al Sibyani,Saudi Arabia,53,LB,,,20,Al Ahli
Muhannad Al Shudukhi,Saudi Arabia,53,RM,,,19,Al Raed
Abdullah Al Meqran,Saudi Arabia,53,ST,,,21,Al Raed
Dawid Pakulski,Poland,53,CM,,,20,Zagłębie Lubin
Kamil Broda,Poland,53,GK,,,17,Wisła Kraków
Michał Ozga,Poland,53,CB,,,18,Jagiellonia
Waleed Khaled Al Enezi,Saudi Arabia,53,RB,,,19,Al Batin
Gaëtan Arib,France,53,CDM,,,18,Valenciennes FC
Monther Al Nakhli,Saudi Arabia,53,RM,,,22,Al Fateh
Ibrahim Al Otaibi,Saudi Arabia,53,CM,,,21,Al Taawoun
Henry Offia,Nigeria,53,LM,,,18,IK Sirius
Jethro Hanson,England,53,CM,,,18,Millwall
Ryan Harrington,Wales,53,RB,,,19,Aberdeen
Dexter Walters,England,53,LM,,,19,Coventry City
Donovan Makoma,France,53,CM,,,19,Stevenage
Jan-Christoph Bartels,Germany,53,GK,,,19,Köln
Kalvin Lumbombo-Kalala,France,53,ST,RM,,20,Cheltenham Town
Facundo Désima,Argentina,53,GK,,,22,San Martín
Alejandro Mosquera,Colombia,53,ST,,,19,Atlético Huila
Mohamed Medfai,France,53,CM,,,18,Gazélec Ajaccio
Raphaël Speranza,France,53,GK,,,17,Chamois FC
Mateusz Żyro,Poland,53,CB,,,19,Legia Warszawa
Bastián Yáñez,Chile,53,LW,,,17,Unión Española
Artur Piróg,Poland,53,CM,,,18,Korona Kielce
David Bumberger,Austria,53,CB,,,19,LASK Linz
Davide Bochicchio,Italy,53,GK,,,20,Sp. Charleroi
Alf Øivind Aslesen,Norway,53,CB,,,20,Sandefjord
Adam Ben Lamin,Sweden,53,CB,,,17,AIK
Loïc JacotL,Switzerland,53,GK,,,18,FC Luzern
Kornel Kordas,Poland,53,LB,,,18,Korona Kielce
Ethan Erhahon,Scotland,53,CM,,,17,St. Mirren
Serkan Sarıkaya,Turkey,53,CM,,,19,Sivasspor
James Dodd,England,53,CM,,,17,Exeter City
Dariusz Szczerbal,Poland,53,GK,,,22,Śląsk Wrocław
Filip Møller Delaveris,Norway,53,ST,,,17,Odds BK
Adrian Klimczak,Poland,53,LB,,,21,Arka Gdynia
Craig Henderson,Scotland,53,LM,,,17,Livingston
Matthew Knox,Scotland,53,ST,,,18,Livingston
Edgaras Dubickas,Lithuania,53,CF,ST,,20,Lecce
Federico Nicastro,Italy,53,GK,,,36,Neuchâtel Xamax
Ashley Nathaniel-George,England,53,LM,,,23,Crawley Town
Philippos Selkos,Greece,53,ST,LM,,19,Paderborn
Sascha Heil,Germany,53,CB,,,19,Paderborn
Lucas Ribeiro,Brazil,53,LM,,,19,Valenciennes FC
Karol Jaksik,Poland,53,RB,,,19,Górnik Zabrze
Simon Haubrock,Germany,53,CB,,,18,VfL Osnabrück
Jannik Hoormann,Germany,53,CB,,,19,SV Meppen
Lukas Sedlak,Germany,53,GK,,,18,Carl Zeiss Jena
Leonard Langhans,Germany,53,RM,,,19,Würzburg
Nico Ochojski,Germany,53,CDM,,,19,Fortuna Köln
Janis Hanek,Germany,53,CM,CDM,,19,Karlsruher SC
Mario Schragl,Austria,53,GK,,,19,Karlsruher SC
Maximilian Schlosser,Germany,53,GK,,,19,Aue
Elias Löder,Germany,53,CAM,,,18,Aue
Brandon Caserus,France,53,GK,,,20,AS Béziers
Harry Hodges,England,53,RB,,,18,Plymouth Argyle
Brandon Kavanagh,Republic of Ireland,53,LM,CAM,LB,17,Shamrock Rovers
Tom Crawford,England,53,CAM,,,19,Notts County
Nicholas Sette,Australia,53,RW,,,18,Melb. Victory
Wiktor Długosz,Poland,53,CAM,,,18,Korona Kielce
Choi Beom Kyung,Korea Republic,53,CM,CAM,,21,Incheon United
Peter Ouaneh,France,53,CB,,,20,FC Lorient
Sigurd Grønli,Norway,53,CF,,,17,Tromsø IL
Jordan Edwards,England,53,CAM,CM,,18,Swindon Town
Diego Valencia,Chile,53,ST,,,18,Uni. Católica
Felix Agu,Germany,53,RW,RB,,18,VfL Osnabrück
Enzo Valentim,France,53,RB,,,17,Stade de Reims
Lewis Gard,England,53,CM,,,18,Southend United
